Year,Month,Day,AZN.L,BBY.L,UU.L,VOD.L,LRE.L,JD.L,GSK.L,PRU.L,BATS.L,BT-A.L,^FTSE,GBPUSD=X
2010,4,13,1789.756348,214.333221,323.104645,62.983372,182.599045,6.284258,699.557129,334.181213,1254.900391,77.824692,5761.700195,1.537775
2010,4,14,1772.699829,215.256393,323.104645,63.767208,182.97319,6.194299,698.734192,335.058289,1240.399414,81.222069,5796.299805,1.547221
2010,4,15,1783.969238,215.043304,325.092133,64.762924,182.63649,6.3785,697.911011,340.905731,1218.926636,82.983658,5825,1.546551
2010,4,16,1786.10144,211.066315,321.401062,64.402794,183.085419,6.498445,702.574646,341.782837,1199.126953,82.669083,5744,1.536405
2010,4,19,1792.802002,210.924271,319.981506,63.576557,180.353958,6.532715,701.751709,340.905731,1210.560791,82.857834,5727.899902,1.533531
2010,4,20,1810.468384,214.830322,321.117065,63.576557,179.605591,6.524147,702.300415,343.537079,1236.495117,84.430687,5783.700195,1.536382
2010,4,21,1793.106934,212.138489,318.561859,63.724888,178.857269,6.524147,691.875732,330.087982,1221.994141,84.0532,5723.399902,1.541331
2010,4,22,1769.653564,209.374023,314.586914,62.665615,177.435349,6.425622,682.822571,318.977875,1208.32959,82.794914,5665.299805,1.537397
2010,4,23,1769.95813,213.157043,312.883362,62.87746,176.649612,6.584119,679.256287,316.346466,1220.042114,83.235298,5723.700195,1.538201
2010,4,26,1767.216919,211.338287,313.735168,62.835064,173.282013,6.751187,684.194336,319.270172,1223.946533,82.732002,5753.899902,1.54679
2010,4,27,1730.057007,207.046082,309.192352,60.547081,170.064087,6.682646,666.087891,315.76178,1193.549683,79.649216,5603.5,1.524762
2010,4,28,1728.534668,199.62558,302.378265,60.419964,171.560745,7.016779,667.734009,318.977875,1175.423584,78.642593,5586.600098,1.520427
2010,4,29,1764.780396,201.298813,306.069214,61.22501,172.795609,6.982508,669.380127,332.719299,1162.874512,79.523392,5617.799805,1.535603
2010,4,30,1759.906494,201.589813,304.933563,61.585159,173.731018,7.033915,664.442139,338.859131,1145.584839,79.71212,5553.299805,1.530011
2010,5,4,1772.699829,215.121292,304.365601,60.144573,180.428787,7.033915,666.362549,326.579468,1167.61499,78.642593,5411.100098,1.512791
2010,5,5,1737.36731,193.441849,304.081787,59.381927,169.876938,7.105448,662.473755,321.024414,1145.863892,76.000198,5341.899902,1.509799
2010,5,6,1717.264282,191.550339,297.835419,59.021755,166.995804,7.022573,655.529602,321.316833,1138.89209,73.798195,5261,1.486392
2010,5,7,1688.633301,184.784592,287.898132,56.310074,165.38681,6.8481,638.030334,317.51593,1118.255615,69.14257,5123,1.478306
2010,5,10,1736.149048,193.150848,296.415741,58.894653,174.40451,7.022573,659.696045,323.948181,1153.672119,73.169052,5387.399902,1.486193
2010,5,11,1737.062256,191.841339,292.156921,57.983696,172.009766,6.8481,658.029541,316.346466,1155.06604,74.804825,5334.200195,1.492092
2010,5,12,1761.125366,201.080582,299.255096,58.449764,175.339981,6.926611,657.751648,330.672729,1152.556396,75.81144,5383.5,1.483701
2010,5,13,1787.320068,196.788315,300.106873,58.470959,176.986359,7.109808,665.529175,328.918365,1159.249146,84.0532,5433.700195,1.46139
2010,5,14,1754.119629,192.350601,296.131927,56.987988,176.91153,7.070551,648.307434,317.223663,1133.872437,81.97702,5262.899902,1.453805
2010,5,17,1769.95813,188.058365,297.551483,57.771812,178.071472,7.044381,655.529602,312.545685,1138.055176,80.278351,5262.5,1.448016
2010,5,18,1774.831543,191.186569,307.204865,57.623516,178.894684,6.935334,651.640625,309.914246,1136.103149,81.284973,5307.299805,1.429674
