Year,Month,Day,PFE,JNJ,COST,FDX,IBM,XOM,DIS,AAPL,MS,ACN,^DJI
2010,4,26,10.227448,45.553795,44.783703,83.476791,83.608826,43.555367,32.262932,8.24164,24.944138,35.225487,11205.030273
2010,4,27,10.00855,45.216145,44.11272,80.967949,82.387299,42.914211,31.635796,8.013502,24.129868,34.53009,10991.990234
2010,4,28,10.051111,45.455318,43.874146,81.978699,83.205933,43.492516,31.609665,8.000047,24.493265,34.785866,11045.269531
2010,4,29,10.25177,45.729668,44.246922,83.548973,83.436157,43.159359,32.419731,8.21534,25.284674,35.321404,11167.320313
2010,4,30,10.166644,45.230221,44.045635,81.229675,82.502419,42.599895,32.088734,7.984451,24.404432,34.881779,11008.610352
2010,5,4,10.494991,45.5116,44.642052,80.6521,81.939598,41.782734,31.870985,7.910748,23.81492,34.370235,10926.769531
2010,5,5,10.556436,45.821095,45.154495,79.921112,81.517494,41.594139,30.782192,7.828488,23.653404,33.706802,10866.830078
2010,5,6,10.286072,44.597149,43.411446,77.601837,79.659729,40.160946,29.623718,7.530626,22.320929,32.843555,10520.320313
2010,5,7,10.114024,44.53384,42.872833,75.029831,78.489784,40.041531,29.101099,7.212886,22.409761,32.228088,10380.429688
2010,5,10,10.445833,45.546761,43.02993,79.163033,81.170357,41.003273,30.738632,7.767326,23.306154,32.811577,10785.139648
2010,5,11,10.451977,45.49049,43.344124,79.515038,81.568924,40.794422,31.148016,7.844698,22.918531,32.891506,10748.259766
2010,5,12,10.384387,45.652275,43.299232,81.004044,85.290901,41.079216,30.59927,8.015032,22.450142,33.13929,10896.910156
2010,5,13,10.175472,45.49049,43.142143,79.397682,84.519531,40.971622,30.26828,7.900963,22.304781,32.627743,10782.950195
2010,5,14,9.954268,44.998096,43.194519,77.529617,84.333099,40.250156,29.667271,7.762123,21.8687,31.165009,10620.160156
2010,5,17,9.898962,44.934784,43.650841,77.511581,83.850967,40.041321,29.789215,7.774356,21.892927,31.828428,10625.830078
2010,5,18,9.714622,44.294674,43.224434,75.860069,83.536011,39.737541,29.379829,7.717477,21.586056,31.380814,10510.950195
2010,5,19,9.72077,43.767109,43.216957,75.887115,82.835281,39.522373,29.083683,7.594541,21.836395,31.364826,10444.370117
2010,5,20,9.358238,42.592377,42.334209,73.18885,79.582573,38.180683,27.864237,7.270992,20.705812,30.341711,10068.009766
2010,5,21,9.462695,42.824505,42.970078,74.957634,80.623947,38.528774,28.630743,7.41044,21.892927,30.485598,10193.389648
2010,5,24,9.352096,42.606457,42.461391,73.522743,80.00042,38.092091,28.291044,7.546222,20.794638,30.645454,10066.570313
2010,5,25,9.253778,42.451683,42.266876,72.836853,80.045433,37.788322,28.151676,7.499129,21.085371,30.317734,10043.75
2010,5,26,9.284502,41.966316,41.877884,73.676125,79.216179,37.535164,28.804953,7.46518,21.424541,29.902098,9974.450195
2010,5,27,9.444265,41.902447,43.942589,75.950325,81.247498,38.895832,29.937286,7.74775,22.337078,30.573515,10258.990234
2010,5,28,9.358238,41.384258,43.576031,75.345695,80.521111,38.262974,29.109808,7.855707,21.892927,29.99003,10136.629883
2010,6,1,9.210767,41.710781,43.374054,73.360291,79.929695,37.497204,29.031422,7.9765,21.101513,29.342583,10024.019531
2010,6,2,9.339807,42.39933,44.099689,75.192261,81.903198,38.459156,30.259565,8.071913,21.949453,29.438507,10249.540039
2010,6,3,9.358238,42.427734,43.336636,75.787895,82.256767,38.959118,30.233437,8.046533,21.682961,30.25379,10255.280273
2010,6,4,9.069442,41.178387,42.019997,71.627586,80.533958,37.674404,29.344988,7.827567,20.988464,29.518425,9931.969727
2010,6,7,8.92197,41.171303,41.780617,69.055588,79.794716,37.528839,28.778822,7.674052,20.42318,29.214691,9816.490234
2010,6,8,8.940406,41.625599,42.386566,71.00489,79.531151,38.756607,28.87463,7.624814,20.665436,29.126774,9939.980469
2010,6,9,8.92197,41.291973,42.94017,69.985138,79.646858,37.990829,28.691715,7.437352,20.293955,29.126774,9899.25
2010,6,10,9.16161,41.526234,43.127163,72.430779,82.076782,39.167973,29.710821,7.660901,20.665436,30.101925,10172.530273
2010,6,11,9.499562,41.497829,43.02993,72.764664,82.571739,39.148983,29.824059,7.752645,20.996534,30.085943,10211.070313
2010,6,14,9.419685,41.469437,43.02993,73.522743,82.603882,38.838879,29.554035,7.776192,20.455467,30.213839,10190.889648
2010,6,15,9.536431,41.98053,44.25679,75.023033,83.433128,39.560337,30.477329,7.941639,20.956154,30.805325,10404.769531
2010,6,16,9.511853,42.05151,43.643345,70.558334,83.793144,39.560337,30.303125,8.172832,20.810793,30.925219,10409.459961
2010,6,17,9.505707,42.008923,43.822914,70.594482,84.198112,39.61729,30.547014,8.314118,20.447397,30.765343,10434.169922
2010,6,18,9.345951,42.008923,43.546101,71.127678,83.664558,39.93372,30.616695,8.381392,20.754265,31.117048,10450.639648
2010,6,21,9.278358,41.973431,43.224434,71.019272,83.98597,39.952717,30.538305,8.262127,20.68158,31.02113,10442.410156
2010,6,22,9.19848,41.99472,43.09724,68.868233,83.118126,39.199596,29.919861,8.374665,20.334339,30.565525,10293.519531
2010,6,23,9.143177,42.05151,42.970078,69.220734,83.638863,38.667999,29.911156,8.286595,20.213203,30.509567,10298.44043
2010,6,24,8.885102,42.307049,42.057407,68.651337,82.404602,38.016144,29.266598,8.22635,19.591387,30.013998,10152.799805
2010,6,25,8.995704,41.668205,42.221989,68.651337,81.716766,37.402264,29.162077,8.156013,20.197048,32.411934,10143.80957
2010,6,28,8.934259,42.200588,42.379097,67.901176,82.91243,37.003582,28.935604,8.204938,19.801346,31.748505,10138.519531
2010,6,29,8.774503,42.05151,41.616039,64.629494,80.411819,36.256786,28.13426,7.833993,18.937262,30.893244,9870.299805
2010,6,30,8.762212,41.923729,41.017574,63.364201,79.376854,36.117561,27.437433,7.692095,18.743443,30.893244,9774.019531
2010,7,1,8.743775,41.930832,41.069939,65.072372,78.791893,35.826443,27.428722,7.598821,18.646544,30.597488,9732.530273
2010,7,2,8.688475,41.937939,40.568718,64.539131,78.335464,35.801125,27.332911,7.551726,18.436573,30.325735,9686.480469
2010,7,6,8.780644,41.937939,40.39666,63.897415,79.364014,36.364384,27.629061,7.60341,18.549627,30.701406,9743.620117
2010,7,7,8.983418,43.024002,40.613609,65.876717,81.639626,36.97826,28.865923,7.910444,19.341038,31.380814,10018.280273
2010,7,8,9.106308,43.570591,41.675877,66.590698,82.263176,37.218742,29.040127,7.892708,19.542925,31.444757,10138.990234
2010,7,9,9.075583,42.974323,42.034969,67.078751,82.256767,37.199757,29.397253,7.939493,19.946709,31.508703,10198.030273
2010,7,12,9.173897,42.740055,41.840462,67.024529,82.713165,37.30101,29.414669,7.868245,19.833645,31.756508,10216.269531
2010,7,13,9.087873,42.94593,42.274349,69.853401,83.876717,37.604786,30.006975,7.700353,20.721964,32.172138,10363.019531
2010,7,14,9.118599,43.031105,42.154663,71.154816,84.031013,37.503517,29.824059,7.728789,20.625059,32.052231,10366.719727
2010,7,15,9.137029,42.775551,42.304272,69.7901,84.031013,37.509857,29.65856,7.689648,20.665436,31.988283,10359.30957
2010,7,16,8.94655,42.193485,41.129784,67.431221,82.301758,36.680805,28.770107,7.642248,19.979017,31.173002,10097.900391
