Year,Month,Day,DTE.DE,RWE.DE,SIE.DE,LHA.DE,DBK.DE,ADS.DE,ALV.DE,FME.DE,SAP.DE,BMW.DE,DWNI.DE,^GDAXI,EURUSD=X
2010,4,13,5.033906,39.093403,47.765209,11.174642,37.439106,34.170311,53.315475,33.940937,29.704105,22.878868,5.255402,6230.830078,1.360859
2010,4,14,5.063914,39.226883,47.654869,11.322189,38.611706,34.463013,53.777939,33.851124,30.064432,22.985657,5.250423,6278.399902,1.365598
2010,4,15,5.056411,39.273315,47.447197,11.526154,39.117027,34.4795,53.560982,33.765388,30.300507,22.865925,5.262513,6291.450195,1.357405
2010,4,16,5.001397,38.809029,46.162212,11.05313,36.27298,33.918858,52.721676,33.908276,29.82007,23.014782,5.245447,6180.899902,1.350402
2010,4,19,4.994395,38.675537,46.739799,10.762372,35.346558,34.054897,52.510437,33.985836,29.699957,22.852982,5.09966,6162.439941,1.348727
2010,4,20,5.0164,38.983131,47.946911,10.953318,36.111019,34.627907,52.904396,34.300186,29.977453,23.814085,5.18713,6264.22998,1.343508
2010,4,21,4.983892,38.58849,47.427727,10.970675,35.838928,35.073128,51.899513,34.251198,30.080999,23.674936,5.24829,6230.379883,1.338993
2010,4,22,4.947881,38.385361,46.330948,10.762372,34.957851,35.299854,50.854668,34.17363,30.151407,23.461357,4.962408,6168.720215,1.326999
2010,4,23,4.958385,38.385361,47.265488,10.983695,34.834763,36.684975,51.03167,34.324688,30.648399,24.127981,5.098948,6259.529785,1.338401
2010,4,26,4.951382,38.140236,49.141048,11.074828,35.858356,36.981773,50.649128,34.27161,30.930038,24.477474,5.017877,6332.100098,1.340123
2010,4,27,4.856857,37.404888,47.395283,10.779731,34.070297,36.243874,49.421577,33.973595,30.524153,23.985596,4.835823,6159.509766,1.317072
2010,4,28,4.823347,37.32523,46.713848,10.593126,33.843552,35.522453,48.428123,33.638844,29.625414,23.810854,4.764707,6084.339844,1.321283
2010,4,29,4.889365,37.386501,47.317398,10.975017,34.620964,36.421143,49.375912,33.475548,29.807648,23.801142,4.957429,6144.910156,1.326295
2010,4,30,4.890866,37.907387,48.245445,10.892563,33.85651,36.408772,49.398739,33.246925,30.006441,24.030903,4.835823,6135.700195,1.329805
2010,5,4,4.838292,37.925758,45.999958,10.454256,33.052586,35.642014,48.228294,33.422474,29.612991,23.196001,4.764707,6006.859863,1.296395
2010,5,5,4.828518,37.55809,45.941555,10.250292,32.590969,34.594929,48.136932,32.454945,29.550858,23.286608,4.714927,5958.450195,1.281493
2010,5,6,4.79485,36.914654,45.922085,10.137463,31.212683,34.755695,47.290749,32.708057,29.505304,23.571381,4.661591,5908.259766,1.263296
2010,5,7,4.642805,35.646179,44.29314,9.794626,29.988277,33.437969,46.012455,31.728283,28.660398,22.963005,4.480248,5715.089844,1.275608
2010,5,10,4.778559,36.510212,47.700298,10.124441,33.844849,34.568642,49.829319,31.801764,29.368631,24.386868,4.800265,6017.910156,1.277923
2010,5,11,4.788334,36.614388,48.667286,10.076705,33.438892,35.578762,49.34922,31.458841,29.530148,24.710472,4.804532,6037.709961,1.262993
2010,5,12,4.925718,37.533577,49.485001,10.298027,33.812107,36.738529,51.0476,32.238682,29.861486,25.241186,4.974497,6183.490234,1.263903
2010,5,13,5.001197,37.509064,50.555836,10.40218,33.301395,36.509907,52.121845,33.217621,29.546721,25.577734,4.978053,6251.970215,1.254107
2010,5,14,4.854582,36.510212,47.998837,10.028969,31.919836,34.768169,49.985355,32.952145,29.115988,24.995241,4.800265,6056.709961,1.236002
2010,5,17,4.895309,36.381523,48.102673,9.864062,32.165375,34.672573,50.201416,32.87748,29.058006,25.05673,4.963118,6066.919922,1.239296
2010,5,18,4.939293,36.920776,49.614807,9.911798,32.633533,34.963547,50.891567,33.122215,29.327208,25.661873,4.970941,6155.930176,1.217893
2010,5,19,4.841008,36.277351,48.25193,9.681796,31.690664,33.949261,49.235191,32.873337,29.107702,24.129332,4.788176,5988.669922,1.239342
2010,5,20,4.848066,35.860653,46.610008,9.482172,31.418941,32.631523,48.887104,32.777927,28.875771,23.594574,4.752618,5867.879883,1.247894
2010,5,21,4.788334,35.296875,46.142738,9.37368,31.422218,33.263378,48.659058,31.695295,28.486444,23.493496,4.627455,5829.25,1.256708
2010,5,24,4.77693,35.119171,45.889629,9.37368,31.121021,33.163616,48.178951,32.188908,28.569283,23.568489,4.581942,5805.680176,1.234995
2010,5,25,4.771501,34.647316,44.565708,8.970091,30.505541,32.086983,47.410786,32.263569,28.134407,23.014166,4.359352,5670.040039,1.234598
2010,5,26,4.848066,34.806641,45.974007,9.178394,30.908222,32.930824,46.876656,32.628601,28.560997,23.320667,4.519361,5758.02002,1.2173
2010,5,27,4.948525,35.756477,47.667843,9.456134,32.32579,33.483692,48.779087,33.292294,28.743237,24.263023,4.586919,5937.140137,1.234797
2010,5,28,4.970788,36.007725,47.667843,9.399717,32.229378,33.620869,48.929115,33.727837,28.734953,24.569529,4.545673,5946.180176,1.227401
2010,6,1,4.988708,35.921925,48.031292,9.338961,32.003323,34.078129,49.019146,34.428856,29.687536,24.823864,4.821599,5981.27002,1.223301
2010,6,2,5.038124,35.891293,47.946911,9.265188,31.820494,34.128017,48.695072,34.640408,29.795225,25.078203,4.761863,5981.200195,1.2239
